                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      author	                                                                                                                                                                                                                                                                                                           title	    year	                                       doi
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   Kozinn S. I. and Canes D. and Sorcini A. and Moinzadeh A.	                                                                                                                                                                                                              Robotic versus open distal ureteral reconstruction and reimplantation for benign stricture disease	    2012	                     10.1089/end.2011.0234
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 Nataraj R. and Audu M. L. and Kirsch R. F. and Triolo R. J.	                                                                                                                                                                                                                                       Trunk acceleration for neuroprosthetic control of standing: a pilot study	    2012	                       10.1123/jab.28.1.85
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                Yoo H. and Chae B. J. and Park H. S. and Kim K. H. and Kim S. H. and Song B. J. and Jung S. S. and Bae J. S.	                                                                                                                                                                                                                                    Comparison of surgical outcomes between endoscopic and robotic thyroidectomy	    2012	                         10.1002/jso.22106
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  Lin J. C. and Kaul S. A. and Bhandari A. and Peterson E. L. and Peabody J. O. and Menon M.	                                                                                                                                                                                                  Robotic-assisted aortic surgery with and without minilaparotomy for complicated occlusive disease and aneurysm	    2012	                 10.1016/j.jvs.2011.06.103
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      Rossi A. and Pappalardo L. and Cintia P. and Iaia F. M. and Fernandez J. and Medina D.	                                                                                                                                                                                                                              Effective injury forecasting in soccer with GPS training data and machine learning	    2018	              10.1371/journal.pone.0201264
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             Zariffa J. and Kapadia N. and Kramer J. L. and Taylor P. and Alizadeh-Meghrazi M. and Zivanovic V. and Willms R. and Townson A. and Curt A. and Popovic M. R. and Steeves J. D.	                                                                                                                                                                                              Feasibility and efficacy of upper limb robotic rehabilitation in a subacute cervical spinal cord injury population	    2012	                       10.1038/sc.2011.104
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    Gorgey A. S. and Poarch H. and Harnish C. and Miller J. M. and Dolbow D. and Gater D. R.	                                                                                                                                                                                                  Acute effects of locomotor training on neuromuscular and metabolic profile after incomplete spinal cord injury	    2011	                     10.3233/nre-2011-0680
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                Kang J. and Hur H. and Min B. S. and Lee K. Y. and Kim N. K.	                                                                                                                                                Robotic coloanal anastomosis with or without intersphincteric resection for low rectal cancer: starting with the perianal approach followed by robotic procedure	    2012	                 10.1245/s10434-011-1952-4
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       Koie T. and Yamamoto H. and Hatakeyama S. and Kudoh S. and Yoneyama T. and Hashimoto Y. and Kamimura N. and Ohyama C.	                                                                                                                                                                                                      Minimum incision endoscopic radical prostatectomy: clinical and oncological outcomes at a single institute	    2011	                10.1016/j.ejso.2011.06.009
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        Chauhan S. and Patel M. B. and Coelho R. and Liss M. and Rocco B. and Sivaraman A. K. and Palmer K. J. and Coughlin G. D. and Ferrigni R. G. and Castle E. P. and Ahlering T. E. and Parra-Davila E. and Patel V. R.	                                                                                                                Preliminary analysis of the feasibility and safety of salvage robot-assisted radical prostatectomy after radiation failure: multi-institutional perioperative and short-term functional outcomes	    2011	                     10.1089/end.2010.0564
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    LaFleur J. and Nelson R. E. and Yao Y. and Adler R. A. and Nebeker J. R.	                                                                                                                                                                                                                         Validated risk rule using computerized data to identify males at high risk for fracture	    2012	                 10.1007/s00198-011-1646-6
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                Lau S. and Buzaglo K. and Vaknin Z. and Brin S. and Kaufer R. and Drummond N. and Gourdji I. and Aubin S. and Rosberger Z. and Gotlieb W. H.	                                                                                                                                                                                                    Relationship between body mass index and robotic surgery outcomes of women diagnosed with endometrial cancer	    2011	              10.1097/IGC.0b013e318212981d
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               Lee J. and Kang S. W. and Jung J. J. and Choi U. J. and Yun J. H. and Nam K. H. and Soh E. Y. and Chung W. Y.	                                                                                                                                                                                              Multicenter study of robotic thyroidectomy: short-term postoperative outcomes and surgeon ergonomic considerations	    2011	                 10.1245/s10434-011-1628-0
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  Schachner T. and Bonaros N. and Wiedemann D. and Lehr E. J. and Weidinger F. and Feuchtner G. and Zimrin D. and Bonatti J.	                                                                                                                                                                             Predictors, causes, and consequences of conversions in robotically enhanced totally endoscopic coronary artery bypass graft surgery	    2011	          10.1016/j.athoracsur.2010.10.072
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   Larson E. B. and Ramaiya M. and Zollman F. S. and Pacini S. and Hsu N. and Patton J. L. and Dvorkin A. Y.	                                                                                                                                                                                                                Tolerance of a virtual reality intervention for attention remediation in persons with severe TBI	    2011	              10.3109/02699052.2010.551648
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       Faruqui S. H. A. and Alaeddini A. and Jaramillo C. A. and Potter J. S. and Pugh M. J.	                                                                                                                                                                  Mining patterns of comorbidity evolution in patients with multiple chronic conditions using unsupervised multi-level temporal Bayesian network	    2018	              10.1371/journal.pone.0199768
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          Keehn A. Y. and Mufarrij P. W. and Stifelman M. D.	                                                                                                                                                                                                                           Robotic ureterolysis for relief of ureteral obstruction from retroperitoneal fibrosis	    2011	             10.1016/j.urology.2010.11.025
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 Basso D. M.	                                                                                                                                                                                                                                                                                              Invited commentary	    2011	                   10.2522/ptj.20090359.ic
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        Lam T. and Pauhl K. and Krassioukov A. and Eng J. J.	                                                                                                                                                                          Using robot-applied resistance to augment body-weight-supported treadmill training in an individual with incomplete spinal cord injury	    2011	                      10.2522/ptj.20100026
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     Watanabe T. and Yano K.	                                                                                                                                                                                                     Extension assist control for individuals with cervical cord injury using motion assist robot for upper limb	    2010	                10.1109/iembs.2010.5626391
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 de Ona J. and Mujalli R. O. and Calvo F. J.	                                                                                                                                                                                                                  Analysis of traffic accident injury severity on Spanish rural highways using Bayesian networks	    2011	                 10.1016/j.aap.2010.09.010
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      Williams S. B. and Prasad S. M. and Weinberg A. C. and Shelton J. B. and Hevelone N. D. and Lipsitz S. R. and Hu J. C.	                                                                                                                                                                                                                              Trends in the care of radical prostatectomy in the United States from 2003 to 2006	    2011	          10.1111/j.1464-410X.2010.09822.x
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          Rupp R. and Plewa H. and Schuld C. and Gerner H. J. and Hofer E. P. and Knestel M.	                                                                                                                                                                                     MotionTherapy@Home - First results of a clinical study with a novel robotic device for automated locomotion therapy at home	    2011	                      10.1515/bmt.2010.051
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           Keene R. and Froelich J. M. and Milbrandt J. C. and Idusuyi O. B.	                                                                                                                                                                                                                                 Bilateral gluteal compartment syndrome following robotic-assisted prostatectomy	    2010	              10.3928/01477447-20100924-25
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            Field-Fote E. C. and Roach K. E.	                                                                                                                                                                 Influence of a locomotor training approach on walking speed and distance in people with chronic spinal cord injury: a randomized clinical trial	    2011	                      10.2522/ptj.20090359
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     Chin L. F. and Lim W. S. and Kong K. H.	                                                                                                                                                                                                              Evaluation of robotic-assisted locomotor training outcomes at a rehabilitation centre in Singapore	    2010	                                          
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             Chen P. and Xie Q. and Wu X. and Huang H. and Lv W. and Chen L. and Guo Y. and Zhang S. and Hu H. and Wang Y. and Nie Y. and Yu R. and Huang R.	                                                                                                                                                                                                                 Abnormal Effective Connectivity of the Anterior Forebrain Regions in Disorders of Consciousness	    2018	                 10.1007/s12264-018-0250-6
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              Leroy T. J. and Thiel D. D. and Duchene D. A. and Parker A. S. and Igel T. C. and Wehle M. J. and Goetzl M. and Thrasher J. B.	                        Safety and peri-operative outcomes during learning curve of robot-assisted laparoscopic prostatectomy: a multi-institutional study of fellowship-trained robotic surgeons versus experienced open radical prostatectomy surgeons incorporating robot-assisted laparoscopic prostatectomy	    2010	                     10.1089/end.2009.0657
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            Manella K. J. and Torres J. and Field-Fote E. C.	                                                                                                                                                                                                               Restoration of walking function in an individual with chronic complete (AIS A) spinal cord injury	    2010	                     10.2340/16501977-0593
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   Hathout L. and Donath D. and Moumdjian C. and Tetreault-Laflamme A. and Larouche R. and Beliveau-Nadeau D. and Hervieux Y. and Taussky D.	                                                                                                                                                                                   Analysis of seed loss and pulmonary seed migration in patients treated with virtual needle guidance and robotic seed delivery	    2011	              10.1097/COC.0b013e3181ec63c5
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      Gordon K. E. and Wu M. and Kahn J. H. and Schmit B. D.	                                                                                                                                                                                                  Feedback and feedforward locomotor adaptations to ankle-foot load in people with incomplete spinal cord injury	    2010	                     10.1152/jn.00604.2009
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                Swinnen E. and Duerinck S. and Baeyens J. P. and Meeusen R. and Kerckhofs E.	                                                                                                                                                                                                           Effectiveness of robot-assisted gait training in persons with spinal cord injury: a systematic review	    2010	                     10.2340/16501977-0538
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              Lin C. C. and Ou Y. K. and Chen S. H. and Liu Y. C. and Lin J.	                                                                                                                                                                           Comparison of artificial neural network and logistic regression models for predicting mortality in elderly patients with hip fracture	    2010	              10.1016/j.injury.2010.04.023
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                Matheny M. E. and Miller R. A. and Ikizler T. A. and Waitman L. R. and Denny J. C. and Schildcrout J. S. and Dittus R. S. and Peterson J. F.	                                                                                                                                                                                                 Development of inpatient risk stratification models of acute kidney injury for use in electronic health records	    2010	                  10.1177/0272989x10364246
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    Tilz R. R. and Chun K. R. and Metzner A. and Burchard A. and Wissner E. and Koektuerk B. and Konstantinidou M. and Nuyens D. and De Potter T. and Neven K. and Furnkranz A. and Ouyang F. and Schmidt B.	                                                                                                                                                                                                      Unexpected high incidence of esophageal injury following pulmonary vein isolation using robotic navigation	    2010	          10.1111/j.1540-8167.2010.01742.x
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           Sommer M. and Heidinger Ch and Arendasy M. and Schauer S. and Schmitz-Gielsdorf J. and Hausler J.	                                                                                                                                                                                                                                           Cognitive and personality determinants of post-injury driving fitness	    2010	                     10.1093/arclin/acp109
